gene_id,gene_name,gene_type,chrom,start,end,strand
ENSG00000271746.1,AL031848.2,lncRNA,chr1,6393555,6394391,+
ENSG00000231868.1,AL031848.1,lncRNA,chr1,6443034,6447006,-
ENSG00000228750.7,LINC01672,lncRNA,chr1,6724637,6730012,+
ENSG00000284744.1,AL591163.1,lncRNA,chr1,6767954,6770038,+
ENSG00000237436.1,CAMTA1-DT,lncRNA,chr1,6783892,6784843,-
ENSG00000237365.1,AL512330.1,lncRNA,chr1,7008376,7014279,-
ENSG00000237402.1,CAMTA1-IT1,lncRNA,chr1,7368942,7370270,+
ENSG00000237728.2,CAMTA1-AS2,lncRNA,chr1,7382487,7389754,-
ENSG00000225126.1,CAMTA1-AS1,lncRNA,chr1,7441096,7441554,-
ENSG00000270171.1,AL359881.3,lncRNA,chr1,7693124,7694844,-
ENSG00000270035.1,AL359881.2,lncRNA,chr1,7698303,7698872,-
ENSG00000269978.1,AL359881.1,lncRNA,chr1,7700704,7700970,-
ENSG00000269925.1,Z98884.2,lncRNA,chr1,7776383,7776775,+
ENSG00000236266.1,Z98884.1,lncRNA,chr1,7810242,7827342,-
ENSG00000284747.1,AL034417.4,lncRNA,chr1,7991134,8005312,+
ENSG00000284716.1,AL034417.3,lncRNA,chr1,7998187,7999934,-
ENSG00000238290.1,AL034417.2,lncRNA,chr1,8026738,8122702,+
ENSG00000227634.3,LINC01714,lncRNA,chr1,8201518,8215210,+
ENSG00000233645.1,AL358876.2,lncRNA,chr1,8218190,8220529,-
ENSG00000232912.6,RERE-AS1,lncRNA,chr1,8424645,8435013,+
ENSG00000228423.2,AL357552.2,lncRNA,chr1,8805860,8807051,-
ENSG00000230679.1,ENO1-AS1,lncRNA,chr1,8878835,8879894,+
ENSG00000228526.7,MIR34AHG,lncRNA,chr1,9148011,9198906,-
ENSG00000234546.4,LNCTAM34A,lncRNA,chr1,9182004,9196284,+
ENSG00000284652.1,BX323043.1,lncRNA,chr1,9421098,9422862,-
ENSG00000284693.1,LINC02606,lncRNA,chr1,9425094,9440564,-
ENSG00000235263.1,AL928921.1,lncRNA,chr1,9501092,9503471,-
ENSG00000179840.5,PIK3CD-AS1,lncRNA,chr1,9652610,9654586,-
ENSG00000231789.2,PIK3CD-AS2,lncRNA,chr1,9672426,9687555,-
ENSG00000223989.1,AL357140.1,lncRNA,chr1,9848318,9850154,+
ENSG00000285701.1,AL357140.4,lncRNA,chr1,9900614,9908034,+
ENSG00000228150.1,AL357140.2,lncRNA,chr1,9942923,9949974,+
ENSG00000241326.1,AL603962.1,lncRNA,chr1,9983141,9984568,+
ENSG00000284735.1,AL139424.3,lncRNA,chr1,10381906,10387150,-
ENSG00000284642.1,AL139424.2,lncRNA,chr1,10395416,10397432,+
ENSG00000271989.1,AL139424.1,lncRNA,chr1,10429881,10430677,-
ENSG00000203469.2,AL354956.1,lncRNA,chr1,10458555,10459338,+
ENSG00000287727.1,AL139423.2,lncRNA,chr1,10612222,10616452,-
ENSG00000272078.1,AL139423.1,lncRNA,chr1,10639241,10654333,+
ENSG00000226849.1,AL109811.1,lncRNA,chr1,11068471,11073097,+
ENSG00000230337.1,EXOSC10-AS1,lncRNA,chr1,11099675,11102100,+
ENSG00000225602.5,MTOR-AS1,lncRNA,chr1,11143898,11149537,+
ENSG00000284646.1,AL031291.1,lncRNA,chr1,11311734,11319093,-
ENSG00000285833.1,AL590989.1,lncRNA,chr1,11500803,11502016,-
ENSG00000235643.2,LINC01647,lncRNA,chr1,11609468,11613358,+
ENSG00000284708.1,AL031731.1,lncRNA,chr1,11623558,11643416,+
ENSG00000177553.6,C1orf167-AS1,lncRNA,chr1,11777077,11779619,-
ENSG00000285646.2,AL021155.4,lncRNA,chr1,11907940,11914298,+
ENSG00000287384.1,AL096840.2,lncRNA,chr1,11979533,11980127,-
ENSG00000285604.1,AL357835.1,lncRNA,chr1,12088441,12092264,-
ENSG00000229484.1,LINC02766,lncRNA,chr1,12527724,12528420,+
ENSG00000272482.1,AC254633.1,lncRNA,chr1,12618900,12619244,-
ENSG00000228338.1,LINC01784,lncRNA,chr1,12822686,12823159,-
ENSG00000233336.1,AC245056.1,lncRNA,chr1,13146981,13147460,-
ENSG00000228229.2,AC243961.1,lncRNA,chr1,13324039,13324518,+
ENSG00000259961.1,AL354712.1,lncRNA,chr1,13513220,13516270,+
ENSG00000237445.2,AL359771.1,lncRNA,chr1,13657311,13659910,-
ENSG00000231606.2,AL357873.1,lncRNA,chr1,14221887,14304445,-
ENSG00000234593.3,KAZN-AS1,lncRNA,chr1,14338825,14419973,-
ENSG00000287756.1,AL031293.1,lncRNA,chr1,14774469,14777727,-
ENSG00000175147.13,TMEM51-AS1,lncRNA,chr1,15111815,15153618,-
ENSG00000204464.7,C1orf195,lncRNA,chr1,15164344,15171317,-
ENSG00000233485.1,FHAD1-AS1,lncRNA,chr1,15326680,15343876,-
ENSG00000236045.1,AL031283.2,lncRNA,chr1,15334166,15335464,-
ENSG00000228140.2,AL031283.1,lncRNA,chr1,15402979,15409433,-
ENSG00000272510.1,AL121992.3,lncRNA,chr1,15565611,15565956,-
ENSG00000237301.1,AL121992.1,lncRNA,chr1,15586136,15603626,-
ENSG00000271742.1,AL121992.2,lncRNA,chr1,15682873,15683128,-
ENSG00000237938.5,AL450998.2,lncRNA,chr1,15720312,15736896,-
ENSG00000224459.1,SLC25A34-AS1,lncRNA,chr1,15740051,15749896,-
ENSG00000179743.4,FLJ37453,lncRNA,chr1,15834474,15848147,-
ENSG00000233078.1,AL355994.3,lncRNA,chr1,16006160,16006671,-
ENSG00000227959.1,AL451042.2,lncRNA,chr1,16155211,16157329,+
ENSG00000224621.1,AL451042.1,lncRNA,chr1,16159266,16161883,+
ENSG00000234166.1,ARHGEF19-AS1,lncRNA,chr1,16197854,16198357,+
ENSG00000288398.1,AL109627.1,lncRNA,chr1,16228674,16231335,-
ENSG00000226029.1,LINC01772,lncRNA,chr1,16460948,16468481,+
ENSG00000261135.1,AL137802.2,lncRNA,chr1,16514645,16515754,+
ENSG00000285853.1,AL137802.3,lncRNA,chr1,16515034,16521788,+
ENSG00000224174.2,AL137802.1,lncRNA,chr1,16520694,16521796,+
ENSG00000233421.4,LINC01783,lncRNA,chr1,16533886,16536172,-
ENSG00000271732.1,AL137798.1,lncRNA,chr1,16617391,16617729,+
ENSG00000282143.1,AL137798.2,lncRNA,chr1,16656879,16667524,+
ENSG00000279151.1,AL021920.1,lncRNA,chr1,16701546,16705594,+
ENSG00000282740.1,AL021920.3,lncRNA,chr1,16739938,16750589,-
ENSG00000223643.6,BX284668.1,lncRNA,chr1,16851257,16853129,-
ENSG00000228549.4,BX284668.2,lncRNA,chr1,16870945,16883659,+
ENSG00000238142.2,BX284668.4,lncRNA,chr1,16887577,16889706,-
ENSG00000272426.1,BX284668.5,lncRNA,chr1,16904339,16904776,-
ENSG00000286898.1,AL049569.2,lncRNA,chr1,16976302,16977792,+
ENSG00000226526.1,AL049569.1,lncRNA,chr1,16978926,17005091,+
ENSG00000204362.6,LINC02783,lncRNA,chr1,17189783,17197617,+
ENSG00000282843.1,AL590644.1,lncRNA,chr1,17193232,17201733,-
ENSG00000227751.1,RCC2-AS1,lncRNA,chr1,17406760,17407382,+
ENSG00000236648.2,LINC02810,lncRNA,chr1,17717625,17749978,+
ENSG00000284653.1,AL357509.1,lncRNA,chr1,18015712,18045612,+
ENSG00000261781.1,LINC01654,lncRNA,chr1,18065657,18074412,+
ENSG00000230035.2,IGSF21-AS1,lncRNA,chr1,18166929,18179346,-
ENSG00000225387.1,AL591896.1,lncRNA,chr1,18385829,18388514,+
ENSG00000272084.1,AL137127.1,lncRNA,chr1,19072110,19075511,-
ENSG00000230424.1,EMC1-AS1,lncRNA,chr1,19210501,19240704,+
ENSG00000235185.1,AL031727.2,lncRNA,chr1,19591802,19596832,-
ENSG00000235434.1,AL391883.1,lncRNA,chr1,19814367,19819502,+
ENSG00000227066.2,Z98257.1,lncRNA,chr1,20154171,20160568,+
ENSG00000228105.2,LINC01757,lncRNA,chr1,20243095,20244664,+
ENSG00000284710.1,Z98257.2,lncRNA,chr1,20272018,20275005,+
ENSG00000226664.1,AL020998.1,lncRNA,chr1,20294211,20323187,-
ENSG00000236963.7,LINC01141,lncRNA,chr1,20360579,20431234,-
ENSG00000226487.1,AL139254.1,lncRNA,chr1,20412304,20413253,-
ENSG00000284641.1,AL139254.2,lncRNA,chr1,20476222,20478937,+
ENSG00000284743.1,AL139254.3,lncRNA,chr1,20478779,20480397,-
ENSG00000117242.7,PINK1-AS,lncRNA,chr1,20642657,20652193,-
ENSG00000233069.1,AL663074.1,lncRNA,chr1,20732880,20733952,+
ENSG00000287192.1,AL031005.2,lncRNA,chr1,21177054,21178164,+
ENSG00000236936.1,AL031005.1,lncRNA,chr1,21266082,21267251,+
ENSG00000231105.2,ECE1-AS1,lncRNA,chr1,21293290,21299874,+
ENSG00000236009.1,AL592309.1,lncRNA,chr1,21415898,21417492,+
ENSG00000233431.1,LINC02596,lncRNA,chr1,21586472,21591187,+
ENSG00000285959.1,AL590556.3,lncRNA,chr1,21983606,22030617,+
ENSG00000228397.3,LINC01635,lncRNA,chr1,22023990,22026048,-
ENSG00000218510.8,LINC00339,lncRNA,chr1,22024558,22031223,+
ENSG00000285752.1,CDC42-AS1,lncRNA,chr1,22028317,22052927,-
ENSG00000230068.2,CDC42-IT1,lncRNA,chr1,22059197,22064199,+
ENSG00000285873.1,AL445253.1,lncRNA,chr1,22142850,22157401,+
ENSG00000237200.1,ZBTB40-IT1,lncRNA,chr1,22517474,22519708,+
ENSG00000225952.1,AL512444.1,lncRNA,chr1,22835713,22836849,-
ENSG00000240553.1,AL031428.1,lncRNA,chr1,23020147,23088058,-
ENSG00000261326.4,LINC01355,lncRNA,chr1,23281307,23287488,-
ENSG00000284726.1,AL109936.6,lncRNA,chr1,23297797,23302866,+
ENSG00000249087.7,ZNF436-AS1,lncRNA,chr1,23368997,23371839,+
ENSG00000271420.1,AL109936.2,lncRNA,chr1,23378380,23379029,-
ENSG00000235052.1,AL021154.1,lncRNA,chr1,23549139,23550915,-
ENSG00000285802.1,AL450043.1,lncRNA,chr1,23576436,23593621,-
ENSG00000197880.9,MDS2,lncRNA,chr1,23581495,23640568,+
ENSG00000236810.6,ELOA-AS1,lncRNA,chr1,23706901,23778296,-
ENSG00000232557.3,AL590609.2,lncRNA,chr1,23907111,23907885,+
ENSG00000225315.2,AL591178.1,lncRNA,chr1,24040835,24086799,+
ENSG00000230703.1,MYOM3-AS1,lncRNA,chr1,24066774,24083565,+
ENSG00000230023.2,LINC02800,lncRNA,chr1,24200240,24211693,+
ENSG00000232298.2,GRHL3-AS1,lncRNA,chr1,24307556,24321901,-
ENSG00000286061.1,RCAN3AS,lncRNA,chr1,24496254,24535400,-
ENSG00000264443.1,NCMAP-DT,lncRNA,chr1,24538802,24556024,-
ENSG00000284699.1,AL445648.1,lncRNA,chr1,24704894,24717596,+
ENSG00000229162.1,RUNX3-AS1,lncRNA,chr1,24961345,24963097,+
ENSG00000261025.1,AL445471.1,lncRNA,chr1,24968423,24970865,-
ENSG00000285823.1,LINC02793,lncRNA,chr1,25041136,25047404,+
ENSG00000233755.1,AL050344.1,lncRNA,chr1,25043707,25113120,-
ENSG00000231953.2,AL031432.1,lncRNA,chr1,25208139,25209437,+
ENSG00000284602.1,AL031432.4,lncRNA,chr1,25232586,25234775,+
ENSG00000284657.1,AL031432.5,lncRNA,chr1,25239494,25240253,+
ENSG00000272432.1,AL031432.3,lncRNA,chr1,25247837,25248321,+
ENSG00000225643.1,AL606491.1,lncRNA,chr1,25581478,25590356,+
ENSG00000233478.1,AL031280.1,lncRNA,chr1,25644544,25659111,-
ENSG00000228172.5,AL020996.1,lncRNA,chr1,25816749,25820797,-
ENSG00000272478.1,AL020996.3,lncRNA,chr1,25831913,25832134,-
ENSG00000236528.1,AL033528.2,lncRNA,chr1,25859613,25863420,+
ENSG00000284309.1,AL391650.2,lncRNA,chr1,26046665,26049099,+
ENSG00000225891.2,DHDDS-AS1,lncRNA,chr1,26462756,26468014,-
ENSG00000260063.1,AL512408.1,lncRNA,chr1,26692132,26694131,-
ENSG00000226698.1,AL034380.1,lncRNA,chr1,26876133,26878245,+
ENSG00000224311.1,AL590640.1,lncRNA,chr1,27229106,27234352,-
ENSG00000241169.1,FO393419.2,lncRNA,chr1,27457198,27459582,+
ENSG00000237429.1,BX293535.1,lncRNA,chr1,27525805,27530561,+
ENSG00000233975.2,LINC02574,lncRNA,chr1,27660328,27666279,-
ENSG00000225886.3,AL445490.1,lncRNA,chr1,27669468,27703063,+
ENSG00000287244.1,AL020997.5,lncRNA,chr1,27724822,27725756,-
ENSG00000269971.1,AL020997.2,lncRNA,chr1,27773858,27774041,+
ENSG00000270031.1,AL020997.3,lncRNA,chr1,27819983,27820341,+
ENSG00000286433.1,AL020997.4,lncRNA,chr1,27827812,27831209,-
ENSG00000227050.1,AL512288.1,lncRNA,chr1,27938875,27960193,-
ENSG00000270605.1,AL353622.1,lncRNA,chr1,28239509,28241453,-
ENSG00000271398.1,AL353622.2,lncRNA,chr1,28247144,28247568,+
ENSG00000242125.3,SNHG3,lncRNA,chr1,28505980,28510892,+
ENSG00000197989.14,SNHG12,lncRNA,chr1,28578538,28583132,-
ENSG00000229388.1,LINC01715,lncRNA,chr1,28643228,28648581,+
ENSG00000270103.3,AL360012.1,lncRNA,chr1,28648600,28648730,+
ENSG00000233427.1,AL009181.1,lncRNA,chr1,28870483,28877336,-
ENSG00000225750.1,AL357500.1,lncRNA,chr1,29144494,29146994,-
ENSG00000237934.1,AL590729.1,lncRNA,chr1,29223933,29224816,+
ENSG00000230523.1,LINC01756,lncRNA,chr1,29329620,29350114,-
ENSG00000228176.1,AC092265.1,lncRNA,chr1,29708851,29709547,-
ENSG00000284676.1,AL645944.2,lncRNA,chr1,29755175,29790597,+
ENSG00000233399.2,LINC01648,lncRNA,chr1,30013952,30037612,-
ENSG00000233372.1,AL137076.1,lncRNA,chr1,30140263,30141607,+
ENSG00000236335.1,AL161638.2,lncRNA,chr1,30409560,30411638,-
ENSG00000231949.1,AL161638.1,lncRNA,chr1,30415825,30421108,+
ENSG00000186056.10,MATN1-AS1,lncRNA,chr1,30718504,30726827,+
ENSG00000287510.1,AL137857.1,lncRNA,chr1,30731693,30733427,+
ENSG00000229607.1,AL137027.1,lncRNA,chr1,30810378,30815553,-
ENSG00000223382.5,LINC01778,lncRNA,chr1,30824217,30834864,+
ENSG00000235143.1,AL445235.1,lncRNA,chr1,30858158,30860254,+
ENSG00000229044.1,AL451070.1,lncRNA,chr1,31333067,31346799,-
ENSG00000284543.1,LINC01226,lncRNA,chr1,31506226,31583306,+
ENSG00000229167.2,AC114488.1,lncRNA,chr1,31571585,31577898,-
ENSG00000235790.7,PEF1-AS1,lncRNA,chr1,31644049,31660162,+
ENSG00000264078.1,AC114488.2,lncRNA,chr1,31644694,31649371,+
ENSG00000254545.1,AL354919.2,lncRNA,chr1,31789130,31791322,+
ENSG00000203620.2,AL354919.1,lncRNA,chr1,31842019,31855568,-
ENSG00000269967.1,AL136115.2,lncRNA,chr1,31851913,31921841,-
ENSG00000228634.1,AL136115.1,lncRNA,chr1,31933020,31933975,+
ENSG00000284702.1,AL136115.3,lncRNA,chr1,31972189,31987034,-
ENSG00000203325.3,AL445248.1,lncRNA,chr1,32052291,32073474,-
ENSG00000250135.1,AL049795.2,lncRNA,chr1,32170733,32176568,+
ENSG00000224066.1,AL049795.1,lncRNA,chr1,32204769,32206814,-
ENSG00000233775.1,AL109945.1,lncRNA,chr1,32349194,32350663,-
ENSG00000224409.1,AC114489.1,lncRNA,chr1,32717734,32725237,-
ENSG00000287691.1,AL031602.2,lncRNA,chr1,32925454,32951638,+
ENSG00000236065.2,AL020995.1,lncRNA,chr1,32987075,33032469,+
ENSG00000284721.1,AL662907.3,lncRNA,chr1,33194788,33200353,+
ENSG00000270115.1,AL513327.2,lncRNA,chr1,33261212,33261680,+
ENSG00000225313.5,AL513327.1,lncRNA,chr1,33307348,33349245,+
ENSG00000233246.1,PHC2-AS1,lncRNA,chr1,33350352,33363245,+
ENSG00000231163.6,CSMD2-AS1,lncRNA,chr1,33868953,33893726,+
ENSG00000287703.1,AC099565.1,lncRNA,chr1,34640157,34685732,-
ENSG00000255811.1,AL121988.1,lncRNA,chr1,34761426,34788097,-
ENSG00000230163.1,AL122010.1,lncRNA,chr1,34850694,34851555,+
ENSG00000284640.1,AL590434.1,lncRNA,chr1,35141515,35146435,-
ENSG00000227409.1,ZMYM4-AS1,lncRNA,chr1,35358822,35366077,-
ENSG00000239636.1,TFAP2E-AS1,lncRNA,chr1,35569813,35577729,-
ENSG00000232335.1,AL354864.1,lncRNA,chr1,35739389,35743576,+
ENSG00000286899.1,AL139286.2,lncRNA,chr1,35908980,35910872,-
ENSG00000271914.1,AL139286.1,lncRNA,chr1,35929720,35930115,-
ENSG00000271554.1,AL138787.2,lncRNA,chr1,35992109,36013630,-
ENSG00000286379.1,AL591845.1,lncRNA,chr1,36329630,36335406,+
ENSG00000284705.1,AL596257.1,lncRNA,chr1,36703953,36710582,+
ENSG00000284720.1,AC117945.2,lncRNA,chr1,36768122,36769725,-
ENSG00000234481.2,AC117945.1,lncRNA,chr1,36769812,36775768,+
ENSG00000284650.1,AL031430.1,lncRNA,chr1,37133489,37136146,+
ENSG00000223944.2,AL353604.1,lncRNA,chr1,37154761,37325100,-
ENSG00000233621.2,LINC01137,lncRNA,chr1,37350934,37474411,-
ENSG00000284748.1,AL513220.1,lncRNA,chr1,37596126,37607336,+
ENSG00000233728.1,AL929472.3,lncRNA,chr1,37799720,37800879,-
ENSG00000230955.1,AL929472.2,lncRNA,chr1,37860697,37861580,+
ENSG00000224592.5,MIR3659HG,lncRNA,chr1,38047314,38119025,+
ENSG00000284623.1,LINC02786,lncRNA,chr1,38129464,38140593,-
ENSG00000286552.1,AL390839.1,lncRNA,chr1,38149544,38162545,+
ENSG00000287987.1,AL390839.2,lncRNA,chr1,38193619,38210340,+
ENSG00000237290.2,LINC01343,lncRNA,chr1,38209034,38214806,-
ENSG00000238063.3,LINC01685,lncRNA,chr1,38474825,38516520,+
ENSG00000284632.1,AL354702.1,lncRNA,chr1,38754216,38815979,-
ENSG00000273637.1,AL139260.2,lncRNA,chr1,38839333,38874494,-
ENSG00000228436.3,AL139260.1,lncRNA,chr1,38859912,38965038,+
ENSG00000287422.1,AL442071.2,lncRNA,chr1,39226670,39238620,-
ENSG00000226438.1,AL442071.1,lncRNA,chr1,39249838,39257649,-
ENSG00000228060.3,PABPC4-AS1,lncRNA,chr1,39565052,39573860,+
ENSG00000225903.1,AL035404.2,lncRNA,chr1,39633416,39633903,+
ENSG00000285905.1,BMP8B-AS1,lncRNA,chr1,39779969,39781418,+
ENSG00000261798.1,AL033527.2,lncRNA,chr1,39788976,39790171,+
ENSG00000284719.1,AL033527.3,lncRNA,chr1,39799422,39809450,+
ENSG00000284678.1,LINC02811,lncRNA,chr1,39801414,39817460,-
ENSG00000236546.1,MYCL-AS1,lncRNA,chr1,39897745,39899098,+
ENSG00000259943.1,AL050341.2,lncRNA,chr1,40256427,40257967,-
ENSG00000284677.1,AL031985.4,lncRNA,chr1,40436199,40450039,-
ENSG00000260920.2,AL031985.3,lncRNA,chr1,40464319,40466767,+
ENSG00000238287.1,AL603839.3,lncRNA,chr1,40493157,40508661,-
ENSG00000227278.1,AL603839.1,lncRNA,chr1,40514461,40515057,-
ENSG00000238186.1,AL603839.2,lncRNA,chr1,40515754,40517174,-
ENSG00000286838.1,AL356379.2,lncRNA,chr1,40559666,40584335,-
ENSG00000287743.1,AL031289.2,lncRNA,chr1,40659848,40667480,+
ENSG00000237899.1,AL031289.1,lncRNA,chr1,40669089,40687588,-
ENSG00000272145.1,NFYC-AS1,lncRNA,chr1,40690380,40692066,-
ENSG00000229528.1,AC119677.1,lncRNA,chr1,40863914,40876670,+
ENSG00000286668.1,AL391730.2,lncRNA,chr1,40939294,40945524,+
ENSG00000281207.1,SLFNL1-AS1,lncRNA,chr1,41014590,41043890,+
ENSG00000287400.1,AC093151.7,lncRNA,chr1,41241772,41338644,+
ENSG00000235358.2,AC093151.2,lncRNA,chr1,41242373,41284861,+
ENSG00000229901.1,FOXO6-AS1,lncRNA,chr1,41375004,41375669,-
ENSG00000230881.1,AL445933.2,lncRNA,chr1,41535443,41535868,+
ENSG00000287587.1,AL158216.1,lncRNA,chr1,42036143,42051784,+
ENSG00000227527.2,AC096540.1,lncRNA,chr1,42335386,42338376,-
ENSG00000285728.2,AC098484.4,lncRNA,chr1,42658687,42682160,-
ENSG00000234917.2,AC098484.2,lncRNA,chr1,42678735,42681659,+
ENSG00000228452.1,AC098484.1,lncRNA,chr1,42775813,42776790,-
